town,flat_type,block,street_name,flat_model
,,312,EAST COAST RD,
,,354,REDHILL RD,
,,506,KIM PONG RD,
,,305,RACE COURSE RD,
,,306,KRETA AYER RD,
,,303,HOUGANG ST 61,
,,431,TESSENSOHN RD,
,,339,MARSILING RD,
,,515,YISHUN ST 81,
,,520,BT BATOK ST 51,
,,703,BT BATOK WEST AVE 4,
,,704,BT BATOK WEST AVE 2,
,,711,JURONG WEST ST 91,
,,705,JURONG WEST ST 81,
,,731,GANGSA RD,
,,728,MCNAIR RD,
,,706,SIMEI ST 4,
,,411,YISHUN AVE 7,
,,315,SERANGOON NTH AVE 2,
,,311,YISHUN AVE 11,
,,301,BANGKIT RD,
,,729,JURONG WEST ST 73,
,,371,OUTRAM HILL,
,,415,HOUGANG AVE 6,
,,413,PASIR RIS ST 12,
,,337,PENDING RD,
,,717,PETIR RD,
,,723,LOR 3 GEYLANG,
,,201,BISHAN ST 11,
,,81,PASIR RIS DR 6,
,,45,BISHAN ST 23,
,,85,JURONG WEST ST 92,
,,98,PASIR RIS ST 11,
,,99,YISHUN CTRL,
,,65,BISHAN ST 22,
,,23,SIMEI RD,
,,67,TAMPINES ST 84,
,,49,BT PANJANG RING RD,
,,39,JURONG WEST ST 93,
,,38,FAJAR RD,
,,17,WOODLANDS ST 81,
,,319,CHOA CHU KANG CTRL,
,,318,PASIR RIS ST 51,
,,327,HOUGANG ST 52,
,,410,CASHEW RD,
,,239,TOH YI DR,
,,154,HOUGANG CTRL,
,,341,KG KAYU RD,
,,352,TAMPINES AVE 8,
,,251,TAMPINES ST 45,
,,302,SIMEI ST 2,
,,234,WOODLANDS AVE 3,
,,237,LENGKONG TIGA,
,,233,WOODLANDS ST 82,
,,242,SERANGOON NTH AVE 4,
,,243,SERANGOON CTRL DR,
,,257,BRIGHT HILL DR,
,,210,SAUJANA RD,
,,208,CHOA CHU KANG AVE 3,
,,316,TAMPINES AVE 9,
,,408,JURONG WEST ST 51,
,,240,YUNG HO RD,
,,331,SERANGOON AVE 1,
,,406,PASIR RIS ST 41,
,,167,GEYLANG EAST AVE 2,
,,168,CHOA CHU KANG AVE 2,
,,170,KIM KEAT LINK,
,,172,PASIR RIS DR 4,
,,185,PASIR RIS ST 21,
,,186,SENG POH RD,
,,187,HOUGANG ST 51,
,,212,JURONG WEST ST 72,
,,215,JURONG WEST ST 71,
,,516,PASIR RIS ST 52,
,,511,TAMPINES ST 32,
,,457,CHOA CHU KANG AVE 4,
,,490,CHOA CHU KANG LOOP,
,,489,JLN TENAGA,
,,487,TAMPINES CTRL 1,
,,485,TAMPINES ST 33,
,,476,BT BATOK WEST AVE 7,
,,477,JURONG WEST AVE 5,
,,527,TAMPINES AVE 7,
,,535,WOODLANDS ST 83,
,,484,CHOA CHU KANG ST 51,
,,491,PASIR RIS DR 3,
,,481,YISHUN CTRL 1,
,,217,CHOA CHU KANG AVE 1,
,,448,WOODLANDS ST 31,
,,446,BT MERAH LANE 1,
,,447,PASIR RIS ST 13,
,,554,ELIAS RD,
,,551,BISHAN ST 24,
,,458,WHAMPOA RD,
,,436,WOODLANDS ST 41,
,,452,PASIR RIS ST 71,
,,539,JURONG WEST ST 74,
,,198,PASIR RIS DR 1,
,,203,PASIR RIS ST 72,
,,407,PASIR RIS DR 10,
,,469,CHOA CHU KANG ST 52,
,,468,CLARENCE LANE,
,,801,CHOA CHU KANG NTH 6,
,,97,PASIR RIS ST 53,
,,11,CHOA CHU KANG NTH 5,
,,68,ANG MO KIO ST 21,
,,94,JLN DAMAI,
,,14,CHOA CHU KANG ST 62,
,,84,WOODLANDS AVE 5,
,,83,WOODLANDS DR 50,
,,52,CHOA CHU KANG ST 53,
,,807,TAMPINES ST 72,
,,461,UPP SERANGOON RD,
,,32,JURONG WEST ST 75,
,,171,STRATHMORE AVE,
,,173,ANG MO KIO ST 31,
,,88,TAMPINES ST 34,
,,86,YUNG AN RD,
,,74,WOODLANDS AVE 4,
,,25,CHOA CHU KANG NTH 7,
,,267,ANG MO KIO ST 11,
,,269,WOODLANDS AVE 9,
,,924,YUNG LOH RD,
,,925,CHOA CHU KANG DR,
,,817,CHOA CHU KANG ST 54,
,,818,REDHILL LANE,
,,808,KANG CHING RD,
,,809,TAH CHING RD,
,,285,SIMEI ST 5,
,,287,WOODLANDS DR 40,
,,274,WOODLANDS DR 70,
,,291,TAMPINES ST 71,
,,293,WOODLANDS DR 42,
,,262,SERANGOON NTH AVE 3,
,,914,JELAPANG RD,
,,250,BT BATOK ST 22,
,,226,HOUGANG ST 91,
,,236,WOODLANDS AVE 6,
,,270,WOODLANDS CIRCLE,
,,420,CORPORATION DR,
,,157,LOMPANG RD,
,,820,WOODLANDS DR 72,
,,819,CHOA CHU KANG ST 64,
,,813,BT BATOK ST 24,
,,810,JLN TECK WHYE,
,,266,WOODLANDS CRES,
,,265,WOODLANDS DR 60,
,,286,CHANGI VILLAGE RD,
,,272,BT BATOK ST 25,
,,275,HOUGANG AVE 9,
,,295,JURONG WEST CTRL 1,
,,261,WOODLANDS RING RD,
,,913,CHOA CHU KANG AVE 5,
,,910,TOH GUAN RD,
,,253,JURONG WEST ST 61,
,,277,WOODLANDS DR 14,
,,928,HOUGANG ST 92,
,,832,CHOA CHU KANG CRES,
,,838,SEMBAWANG CL,
,,839,CANBERRA RD,
,,159,SEMBAWANG CRES,
,,812,SEMBAWANG VISTA,
,,811,COMPASSVALE WALK,
,,294,RIVERVALE ST,
,,432,WOODLANDS DR 62,
,,816,SEMBAWANG DR,
,,289,WOODLANDS DR 53,
,,298,WOODLANDS DR 52,
,,912,RIVERVALE WALK,
,,278,COMPASSVALE LANE,
,,279,RIVERVALE DR,
,,245,SENJA RD,
,,149,JURONG WEST ST 65,
,,148,RIVERVALE CRES,
,,91,WOODLANDS DR 44,
,,27,COMPASSVALE DR,
,,85A,WOODLANDS DR 16,
,,85B,COMPASSVALE RD,
,,206,WOODLANDS DR 73,
,,193,HOUGANG ST 31,
,,200,JURONG WEST ST 64,
,,1A,WOODLANDS DR 71,
,,162,YISHUN ST 20,
,,701,ADMIRALTY DR,
,,736,COMPASSVALE ST,
,,742,BEDOK RESERVOIR VIEW,
,,276,YUNG SHENG RD,
,,751,ADMIRALTY LINK,
,,752,SENGKANG EAST WAY,
,,733,ANG MO KIO ST 32,
,,740,ANG MO KIO ST 52,
,,280,BOON TIONG RD,
,,772,JURONG WEST ST 62,
,,229,ANCHORVALE LINK,
,,238,CANBERRA LINK,
,,255,COMPASSVALE CRES,
,,256,CLEMENTI ST 12,
,,328,MONTREAL DR,
,,348,WELLINGTON CIRCLE,
,,571,SENGKANG EAST RD,
,,584,JURONG WEST AVE 3,
,,454,ANCHORVALE LANE,
,,575,SENJA LINK,
,,561,EDGEFIELD PLAINS,
,,512,ANCHORVALE DR,
,,523,SEGAR RD,
,,644,FARRER PK RD,
,,621,PUNGGOL FIELD,
,,625,EDGEDALE PLAINS,
,,155,ANCHORVALE RD,
,,470,CANTONMENT CL,
,,565,JLN MEMBINA,
,,546,FERNVALE LANE,
,,612,JURONG WEST ST 25,
,,648,CLEMENTI ST 11,
,,70,PUNGGOL FIELD WALK,
,,122,KLANG LANE,
,,426,PUNGGOL CTRL,
,,530,JELEBU RD,
,,519,BUANGKOK CRES,
,,526,WOODLANDS DR 75,
,,626,BT BATOK WEST AVE 5,
,,709,JELLICOE RD,
,,719,PUNGGOL DR,
,,207,JURONG WEST ST 24,
,,175,SEMBAWANG WAY,
,,249,FERNVALE RD,
,,260,BUANGKOK LINK,
,,183,FERNVALE LINK,
,,641,JLN TIGA,
,,362,YUAN CHING RD,
,,409,COMPASSVALE LINK,
,,429,MARINE PARADE CTRL,
,,518,COMPASSVALE BOW,
,,449,PUNGGOL RD,
,,379,BEDOK CTRL,
,,359,PUNGGOL EAST,
,,347,SENGKANG CTRL,
,,342,TAMPINES CTRL 7,
,,340,SENGKANG WEST AVE,
,,846,PUNGGOL PL,
,,317,CANTONMENT RD,
,,321,GHIM MOH LINK,
,,325,SIMEI LANE,
,,357,YISHUN ST 41,
,,241,TELOK BLANGAH ST 31,
,,225A,JLN KAYU,
,,462,LOR 1A TOA PAYOH,
,,475,PUNGGOL WALK,
,,528,SENGKANG WEST WAY,
,,480,BUANGKOK GREEN,
,,514,PUNGGOL WAY,
,,437,YISHUN ST 31,
,,451,TECK WHYE CRES,
,,486,MONTREAL LINK,
,,199,UPP SERANGOON CRES,
,,64,SUMANG LINK,
,,153,SENGKANG EAST AVE,
,,90,YISHUN AVE 1,
,,224,ANCHORVALE CRES,
,,814,ANCHORVALE ST,
